,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,60,0,65.0,8450,0,0,0,0,0,0,0,0,0,0,0,7,5,2003,2003,0,0,0,0,0,196.0,0,0,0,0,0,0,0,706,0,0,150,856,0,0,0,0,856,854,0,1710,1,0,2,1,3,1,0,8,0,0,0,0,2003.0,0,2,548,0,0,0,0,61,0,0,0,0,0,0,0,0,2,2008,0,0,208500
1,20,0,80.0,9600,0,0,0,0,1,0,1,1,0,0,1,6,8,1976,1976,0,0,1,1,1,0.0,1,0,1,0,0,1,1,978,0,0,284,1262,0,0,0,0,1262,0,0,1262,0,1,2,0,3,1,1,6,0,1,1,0,1976.0,0,2,460,0,0,0,298,0,0,0,0,0,0,0,0,0,5,2007,0,0,181500
2,60,0,68.0,11250,0,0,1,0,0,0,0,0,0,0,0,7,5,2001,2002,0,0,0,0,0,162.0,0,0,0,0,0,2,0,486,0,0,434,920,0,0,0,0,920,866,0,1786,1,0,2,1,3,1,0,6,0,1,1,0,2001.0,0,2,608,0,0,0,0,42,0,0,0,0,0,0,0,0,9,2008,0,0,223500
3,70,0,60.0,9550,0,0,1,0,2,0,2,0,0,0,0,7,5,1915,1970,0,0,2,2,1,0.0,1,0,2,1,1,0,1,216,0,0,540,756,0,1,0,0,961,756,0,1717,1,0,1,0,3,1,0,7,0,1,2,1,1998.0,1,3,642,0,0,0,0,35,272,0,0,0,0,0,0,0,2,2006,0,1,140000
4,60,0,84.0,14260,0,0,1,0,1,0,3,0,0,0,0,8,5,2000,2000,0,0,0,0,0,350.0,0,0,0,0,0,3,0,655,0,0,490,1145,0,0,0,0,1145,1053,0,2198,1,0,2,1,4,1,0,9,0,1,1,0,2000.0,0,3,836,0,0,0,192,84,0,0,0,0,0,0,0,0,12,2008,0,0,250000
5,50,0,85.0,14115,0,0,1,0,0,0,4,0,0,0,2,5,5,1993,1995,0,0,0,0,1,0.0,1,0,3,0,0,0,0,732,0,0,64,796,0,0,0,0,796,566,0,1362,1,0,1,1,1,1,1,5,0,0,0,0,1993.0,1,2,480,0,0,0,40,30,0,320,0,0,0,1,1,700,10,2009,0,0,143000
6,20,0,75.0,10084,0,0,0,0,0,0,5,0,0,0,1,8,5,2004,2005,0,0,0,0,2,186.0,0,0,0,2,0,3,0,1369,0,0,317,1686,0,0,0,0,1694,0,0,1694,1,0,2,0,3,1,0,7,0,1,2,0,2004.0,0,2,636,0,0,0,255,57,0,0,0,0,0,0,0,0,8,2007,0,0,307000
8,50,1,51.0,6120,0,0,0,0,0,0,6,2,0,0,2,7,5,1931,1950,0,0,3,2,1,0.0,1,0,2,1,0,0,2,0,0,0,952,952,0,1,0,1,1022,752,0,1774,0,0,2,0,2,2,1,8,1,2,1,1,1931.0,1,2,468,1,0,0,90,0,205,0,0,0,0,0,0,0,4,2008,0,1,129900
9,190,0,50.0,7420,0,0,0,0,2,0,7,2,1,1,3,5,6,1939,1950,0,0,1,1,1,0.0,1,0,2,1,0,0,0,851,0,0,140,991,0,0,0,0,1077,0,0,1077,1,0,1,0,2,2,1,5,0,2,1,0,1939.0,0,1,205,2,0,0,0,4,0,0,0,0,0,0,0,0,1,2008,0,0,118000
10,20,0,70.0,11200,0,0,0,0,0,0,8,0,0,0,1,5,5,1965,1965,1,0,4,3,1,0.0,1,0,1,1,0,0,3,906,0,0,134,1040,0,0,0,0,1040,0,0,1040,1,0,1,0,3,1,1,5,0,0,0,1,1965.0,1,1,384,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2008,0,0,129500
11,60,0,85.0,11924,0,0,1,0,0,0,9,0,0,0,0,9,5,2005,2006,1,0,5,2,2,286.0,2,0,0,2,0,0,0,998,0,0,177,1175,0,0,0,0,1182,1142,0,2324,1,0,3,0,4,1,2,11,0,2,2,2,2005.0,2,3,736,0,0,0,147,21,0,0,0,0,0,0,0,0,7,2006,1,2,345000
13,20,0,91.0,10652,0,0,1,0,0,0,0,0,0,0,1,7,5,2006,2007,0,0,0,0,2,306.0,0,0,0,0,0,3,2,0,0,0,1494,1494,0,0,0,0,1494,0,0,1494,0,0,2,0,3,1,0,7,0,1,2,0,2006.0,0,3,840,0,0,0,160,33,0,0,0,0,0,0,0,0,8,2007,1,2,279500
15,45,1,51.0,6120,0,0,0,0,2,0,7,0,0,0,3,7,8,1929,2001,0,0,2,4,1,0.0,1,0,2,1,0,0,2,0,0,0,832,832,0,0,0,2,854,0,0,854,0,0,1,0,2,1,1,5,0,0,0,1,1991.0,1,2,576,0,0,0,48,112,0,0,0,0,0,2,0,0,7,2007,0,0,132000
17,90,0,72.0,10791,0,0,0,0,0,0,8,0,0,2,1,4,5,1967,1967,0,0,1,1,1,0.0,1,0,4,3,2,4,4,0,1,0,0,0,0,2,0,0,1296,0,0,1296,0,0,2,0,2,2,1,6,0,0,0,3,1967.0,1,2,516,0,0,0,0,0,0,0,0,0,0,0,1,500,10,2006,0,0,90000
18,20,0,66.0,13695,0,0,0,0,0,0,10,3,0,0,1,5,5,2004,2004,0,0,0,0,1,0.0,1,0,0,1,0,0,0,646,0,0,468,1114,0,0,0,0,1114,0,0,1114,1,0,1,1,3,1,0,6,0,0,0,1,2004.0,1,2,576,0,0,0,0,102,0,0,0,0,0,0,0,0,6,2008,0,0,159000
19,20,0,70.0,7560,0,0,0,0,0,0,11,0,0,0,1,5,6,1958,1965,1,0,3,5,1,0.0,1,0,1,1,0,0,5,504,0,0,525,1029,0,2,0,0,1339,0,0,1339,0,0,1,0,3,1,1,6,1,0,0,0,1958.0,1,1,294,0,0,0,0,0,0,0,0,0,0,1,0,0,5,2009,2,1,139000
20,60,0,101.0,14215,0,0,1,0,2,0,9,0,0,0,0,8,5,2005,2006,0,0,0,0,0,380.0,0,0,0,2,0,3,2,0,0,0,1158,1158,0,0,0,0,1158,1218,0,2376,0,0,3,1,4,1,0,9,0,1,2,2,2005.0,0,3,853,0,0,0,240,154,0,0,0,0,0,0,0,0,11,2006,1,2,325300
21,45,1,57.0,7449,0,1,0,1,0,0,12,0,0,0,3,7,7,1930,1950,0,0,2,4,1,0.0,1,0,0,1,0,0,2,0,0,0,637,637,0,0,0,1,1108,0,0,1108,0,0,1,0,3,1,0,6,0,1,2,0,1930.0,1,1,280,0,0,1,0,0,205,0,0,0,0,2,0,0,6,2007,0,0,139400
22,20,0,75.0,9742,0,0,0,0,0,0,0,0,0,0,1,8,5,2002,2002,1,0,0,0,0,281.0,0,0,0,0,0,0,2,0,0,0,1777,1777,0,0,0,0,1795,0,0,1795,0,0,2,0,3,1,0,7,0,1,2,0,2002.0,0,2,534,0,0,0,171,159,0,0,0,0,0,0,0,0,9,2008,0,0,230000
23,120,1,44.0,4224,0,0,0,0,0,0,13,0,0,3,1,5,7,1976,1976,0,0,6,6,1,0.0,1,0,0,0,0,0,0,840,0,0,200,1040,0,2,0,0,1060,0,0,1060,1,0,1,0,3,1,1,6,0,1,1,0,1976.0,1,2,572,0,0,0,100,110,0,0,0,0,0,0,0,0,6,2007,0,0,129900
25,20,0,110.0,14230,0,0,0,0,2,0,9,0,0,0,1,8,5,2007,2007,0,0,0,0,2,640.0,0,0,0,0,0,0,2,0,0,0,1566,1566,0,0,0,0,1600,0,0,1600,0,0,2,0,3,1,0,7,0,1,2,0,2007.0,0,3,890,0,0,0,0,56,0,0,0,0,0,0,0,0,7,2009,0,0,256300
26,20,0,60.0,7200,0,0,0,0,2,0,11,0,0,0,1,5,7,1951,2000,0,0,2,4,1,0.0,1,0,1,1,0,2,6,234,2,486,180,900,0,2,0,0,900,0,0,900,0,1,1,0,3,1,0,5,0,0,0,1,2005.0,1,2,576,0,0,0,222,32,0,0,0,0,0,0,0,0,5,2010,0,0,134800
27,20,0,98.0,11478,0,0,0,0,0,0,9,0,0,0,1,8,5,2007,2008,0,0,0,0,2,200.0,0,0,0,2,0,0,0,1218,0,0,486,1704,0,0,0,0,1704,0,0,1704,1,0,2,0,3,1,0,7,0,1,2,0,2008.0,0,3,772,0,0,0,0,50,0,0,0,0,0,0,0,0,5,2010,0,0,306000
28,20,0,47.0,16321,0,0,1,0,3,0,11,0,0,0,1,5,6,1957,1997,0,0,1,1,1,0.0,1,0,1,1,0,1,6,1277,0,0,207,1484,0,2,0,0,1600,0,0,1600,1,0,1,0,2,1,1,6,0,2,2,0,1957.0,0,1,319,0,0,0,288,258,0,0,0,0,0,0,0,0,12,2006,0,0,207500
29,30,1,60.0,6324,0,0,1,0,0,0,7,1,2,0,1,4,6,1927,1950,0,0,1,1,1,0.0,1,0,2,1,0,0,2,0,0,0,520,520,0,3,1,0,520,0,0,520,0,0,1,0,1,1,3,4,0,0,0,1,1920.0,1,1,240,1,0,0,49,0,87,0,0,0,0,0,0,0,5,2008,0,0,68500
30,70,2,50.0,8500,0,2,0,0,0,0,12,1,0,0,0,4,4,1920,1950,2,0,3,7,1,0.0,1,1,2,1,0,0,2,0,0,0,649,649,0,2,1,0,649,668,0,1317,0,0,1,0,3,1,1,6,0,0,0,1,1920.0,1,1,250,0,1,1,0,54,172,0,0,0,0,1,0,0,7,2008,0,0,40000
